Tiempo,Precio
0,28941.83
5,29053.95
10,29007.7
15,29032.86
20,29073.98
25,29148.15
30,29090.97
35,29125.83
40,29073.55
45,29041.38
50,29068.47
55,29068.33
60,29037.97
65,29054.28
70,29029.4
75,29031.31
80,28998.08
85,28960.76
90,28922.84
95,28884.42
100,28833.99
105,28888.52
110,28925.57
115,28879.08
120,28906.16
125,28866.76
130,28766.65
135,28760.25
140,28809.04
145,28642.91
150,28737.35
155,28703.88
160,28670.67
165,28703.62
170,28777.39
175,28738.05
180,28745.62
185,28710.93
190,28675.21
195,28749.99
200,28669.62
205,28675.96
210,28697.77
215,28657.62
220,28585.26
225,28443.11
230,28402.73
235,28458.68
240,28523.47
245,28613.31
250,28628.17
255,28642.15
260,28735.3
265,28711.49
270,28683.85
275,28688.88
280,28757.39
285,28746.54
290,28702.9
295,28682.25
300,28673.64
305,28631.48
310,28543.52
315,28586.6
320,28559.82
325,28537.98
330,28487.09
335,28590.01
340,28394.85
345,28394.0
350,28457.65
355,28510.18
360,28509.75
365,28401.28
370,28374.12
375,28482.69
380,28371.85
385,28347.94
390,28279.08
395,28283.56
400,28273.85
405,28371.87
410,28385.13
415,28461.41
420,28363.75
425,28113.65
430,28266.66
435,28285.64
440,28234.05
445,28292.13
450,28358.81
455,28455.62
460,28422.24
465,28440.73
470,28432.25
475,28442.7
480,28454.31
485,28451.92
490,28428.42
495,28474.91
500,28497.55
505,28532.96
510,28466.29
515,28459.79
520,28484.73
525,28466.22
530,28454.04
535,28514.86
540,28467.19
545,28502.94
550,28484.78
555,28495.56
560,28537.8
565,28661.75
570,28564.14
575,28577.1
580,28616.11
585,28579.14
590,28606.31
595,28685.24
600,28706.45
605,28694.82
610,28650.92
615,28636.24
620,28669.16
625,28625.49
630,28613.4
635,28625.05
640,28604.99
645,28564.48
650,28553.13
655,28555.7
660,28527.14
665,28553.88
670,28535.18
675,28495.42
680,28416.59
685,28474.7
690,28459.02
695,28460.65
700,28440.74
705,28378.18
710,28406.07
715,28455.66
720,28496.53
725,28501.13
730,28532.64
735,28534.95
740,28491.74
745,28562.43
750,28567.15
755,28551.34
760,28542.51
765,28529.16
770,28523.71
775,28537.89
780,28550.32
785,28532.19
790,28561.28
795,28564.37
800,28625.73
805,28649.99
810,28604.0
815,28619.91
820,28625.0
825,28603.3
830,28533.92
835,28487.28
840,28433.94
845,28450.4
850,28446.73
855,28449.07
860,28409.97
865,28235.89
870,28306.4
875,28378.18
880,28349.97
885,28393.25
890,28423.76
895,28436.81
900,28483.59
905,28440.98
910,28461.34
915,28444.13
920,28485.37
925,28473.76
930,28485.11
935,28478.01
940,28474.3
945,28472.78
950,28424.76
955,28356.48
960,28354.57
965,28273.7
970,28292.77
975,28290.74
980,28341.57
985,28323.93
990,28307.05
995,28308.54
1000,28306.42
1005,28210.85
1010,28300.22
1015,28276.44
1020,28306.03
1025,28203.28
1030,28172.45
1035,27865.24
1040,27863.9
1045,27777.48
1050,27475.48
1055,27565.52
1060,27464.59
1065,27392.34
1070,27469.57
1075,27392.64
1080,27499.94
1085,27459.17
1090,27489.45
1095,27501.35
1100,27692.32
1105,27593.79
1110,27609.99
1115,27598.51
1120,27517.27
1125,27517.58
1130,27583.51
1135,27506.88
1140,27462.26
1145,27497.84
1150,27512.81
1155,27485.66
1160,27502.5
1165,27476.21
1170,27474.47
1175,27474.18
1180,27412.57
1185,27399.67
1190,27338.79
1195,27330.38
1200,27361.23
1205,27334.0
1210,27353.93
1215,27245.85
1220,27242.2
1225,27233.78
1230,27322.41
1235,27354.75
1240,27355.58
1245,27238.07
1250,27295.8
1255,27331.09
1260,27380.47
1265,27352.11
1270,27378.09
1275,27442.82
1280,27467.9
1285,27459.28
1290,27467.77
1295,27461.16
1300,27480.0
1305,27447.39
1310,27473.46
1315,27438.55
1320,27431.31
1325,27393.83
1330,27402.24
1335,27375.45
1340,27376.23
1345,27432.95
1350,27428.76
1355,27397.96
1360,27499.76
1365,27607.79
1370,27537.27
1375,27551.31
1380,27498.37
1385,27558.08
1390,27526.89
1395,27599.11
1400,27592.16
1405,27583.83
1410,27571.14
1415,27528.87
1420,27519.01
1425,27531.12
1430,27545.73
1435,27539.96
1440,27501.05
1445,27531.14
1450,27523.89
1455,27525.22
1460,27485.25
1465,27495.13
1470,27477.9
1475,27475.67
1480,27439.9
1485,27432.52
1490,27412.12
1495,27414.4
1500,27395.72
1505,27464.64
1510,27441.96
1515,27486.58
1520,27510.0
1525,27492.81
1530,27448.5
1535,27388.4
1540,27428.99
1545,27406.88
1550,27410.65
1555,27380.01
1560,27411.23
1565,27385.7
1570,27354.33
1575,27353.71
1580,27381.04
1585,27437.17
1590,27414.45
1595,27428.69
1600,27463.1
1605,27423.09
1610,27478.93
1615,27457.69
1620,27471.77
1625,27448.16
1630,27464.18
1635,27484.36
1640,27504.64
1645,27449.5
1650,27408.69
1655,27432.75
1660,27416.94
1665,27403.32
1670,27364.28
1675,27402.0
1680,27407.05
1685,27394.06
1690,27406.54
1695,27316.44
1700,27320.01
