Tiempo,Precio
0,29690.34
5,29691.32
10,29683.72
15,29689.99
20,29695.09
25,29703.37
30,29705.0
35,29715.64
40,29712.14
45,29689.39
50,29675.02
55,29675.3
60,29677.74
65,29705.81
70,29695.22
75,29663.59
80,29625.31
85,29656.26
90,29672.28
95,29598.6
100,29614.48
105,29591.58
110,29580.63
115,29574.98
120,29580.04
125,29559.18
130,29531.87
135,29539.07
140,29528.0
145,29512.35
150,29583.13
155,29569.09
160,29572.25
165,29559.63
170,29549.99
175,29616.58
180,29591.02
185,29585.11
190,29578.16
195,29568.38
200,29550.41
205,29570.0
210,29558.01
215,29482.62
220,29512.69
225,29534.03
230,29647.16
235,29712.78
240,29810.02
245,29681.37
250,29744.55
255,29731.15
260,29759.42
265,29750.87
270,29766.22
275,29797.16
280,29776.94
285,29738.65
290,29764.55
295,29835.92
300,29787.98
305,29821.4
310,29784.11
315,29771.4
320,29797.11
325,29831.71
330,29817.8
335,29790.48
340,29784.8
345,29773.89
350,29753.17
355,29749.75
360,29750.61
365,29750.0
370,29759.92
375,29734.01
380,29738.88
385,29727.25
390,29703.01
395,29672.31
400,29647.99
405,29642.75
410,29632.09
415,29631.66
420,29668.07
425,29669.09
430,29660.12
435,29670.25
440,29701.7
445,29688.01
450,29744.68
455,29756.28
460,29745.08
465,29753.42
470,29738.78
475,29720.13
480,29741.47
485,29765.85
490,29759.32
495,29755.91
500,29753.9
505,29742.32
510,29748.13
515,29711.34
520,29695.81
525,29690.06
530,29694.64
535,29681.09
540,29679.51
545,29632.75
550,29621.24
555,29626.46
560,29629.37
565,29629.36
570,29646.68
575,29663.42
580,29610.49
585,29682.45
590,29678.97
595,29690.67
600,29709.61
605,29709.03
610,29705.84
615,29707.04
620,29710.91
625,29724.37
630,29748.68
635,29740.87
640,29737.24
645,29741.71
650,29752.11
655,29731.12
660,29729.49
665,29752.06
670,29798.75
675,29778.03
680,29779.14
685,29820.0
690,29840.03
695,29894.1
700,29900.51
705,29901.13
710,29866.6
715,29832.98
720,29824.76
725,29786.04
730,29770.78
735,29792.2
740,29791.81
745,29785.0
750,29766.09
755,29777.89
760,29787.88
765,29759.99
770,29759.69
775,29752.05
780,29775.43
785,29774.42
790,29772.13
795,29801.28
800,29811.72
805,29840.5
810,29811.94
815,29793.41
820,29839.39
825,29850.69
830,29848.23
835,29843.0
840,29830.83
845,29830.01
850,29769.49
855,29770.09
860,29737.08
865,29717.75
870,29711.73
875,29699.72
880,29683.4
885,29656.01
890,29689.99
895,29709.78
900,29716.84
905,29701.19
910,29695.0
915,29690.58
920,29696.88
925,29666.48
930,29691.53
935,29723.92
940,29763.78
945,29756.35
950,29764.64
955,29768.91
960,29762.8
965,29749.99
970,29755.95
975,29767.1
980,29773.0
985,29768.02
990,29737.75
995,29746.35
1000,29756.62
1005,29771.21
1010,29783.12
1015,29772.4
1020,29770.94
1025,29760.08
1030,29740.36
1035,29727.7
1040,29735.75
1045,29743.71
1050,29737.76
1055,29693.79
1060,29671.55
1065,29681.06
1070,29680.19
1075,29690.24
1080,29693.31
1085,29700.36
1090,29702.17
1095,29720.4
1100,29721.39
1105,29700.0
1110,29720.71
1115,29723.75
1120,29738.28
1125,29731.35
1130,29758.8
1135,29775.51
1140,29776.63
1145,29774.35
1150,29771.0
1155,29787.49
1160,29774.6
1165,29770.13
1170,29762.59
1175,29765.58
1180,29763.59
1185,29760.99
1190,29741.58
1195,29738.77
1200,29738.88
1205,29752.92
1210,29748.53
1215,29730.18
1220,29720.48
1225,29704.98
1230,29684.87
1235,29702.5
1240,29716.36
1245,29716.01
1250,29743.7
1255,29785.0
1260,29777.18
1265,29775.32
