Tiempo,Precio
0,19274.71
5,19234.0
10,19188.88
15,19125.41
20,19114.21
25,18799.3
30,18841.96
35,19115.9
40,19164.55
45,19071.58
50,19118.66
55,18973.61
60,19024.28
65,18982.85
70,18996.94
75,18955.79
80,18986.99
85,19028.81
90,19070.71
95,19167.97
100,19143.17
105,19029.53
110,19021.05
115,19050.01
120,19149.77
125,19145.91
130,19238.41
135,19262.43
140,19204.94
145,19346.05
150,19356.62
155,19424.59
160,19376.29
165,19360.3
170,19352.33
175,19326.48
180,19364.41
185,19367.47
190,19344.64
195,19224.32
200,19287.86
205,19353.2
210,19331.53
215,19413.87
220,19385.49
225,19343.04
230,19384.1
235,19271.58
240,19250.01
245,19220.88
250,19195.05
255,19171.25
260,19189.84
265,19177.87
270,19195.29
275,19213.18
280,19251.43
285,19206.53
290,19152.48
295,19166.26
300,19115.11
305,19128.18
310,19067.96
315,19110.87
320,19165.85
325,19168.14
330,19143.38
335,19147.24
340,19143.27
345,19094.04
350,19088.42
355,19096.04
360,19176.48
365,19171.45
370,19203.46
375,19180.51
380,19181.45
385,19140.0
390,19179.99
395,19164.02
400,19188.15
405,19190.09
410,19153.57
415,19115.58
420,19045.0
425,19050.74
430,19025.49
435,19031.38
440,18956.4
445,19039.98
450,19056.44
455,19069.99
460,19052.79
465,19046.84
470,19005.16
475,19007.93
480,18953.08
485,18926.46
490,18940.7
495,18984.21
500,18950.12
505,19018.81
510,19057.46
515,19040.0
520,19008.22
525,18986.52
530,18937.33
535,18829.48
540,18867.58
545,18849.28
550,18907.85
555,18899.37
560,18812.15
565,18836.93
570,18848.52
575,18859.99
580,18837.98
585,18804.53
590,18662.62
595,18550.01
600,18642.77
605,18597.65
610,18592.33
615,18494.6
620,18538.03
625,18361.75
630,18369.37
635,18244.91
640,18175.51
645,18242.73
650,18359.3
655,18322.14
660,18273.33
665,18193.57
670,18112.68
675,18214.16
680,18197.51
685,18255.41
690,18270.71
695,18211.41
700,18212.44
705,18165.35
710,18082.23
715,18049.9
720,18044.5
725,18039.39
730,18029.26
735,17815.39
740,17893.15
745,17959.26
750,17970.74
755,17691.51
760,17753.45
765,17872.98
770,17733.85
775,17610.66
780,17640.04
785,17778.4
790,17977.85
795,17932.94
800,17964.04
805,17943.41
810,18351.07
815,18659.26
820,18412.73
825,18454.08
830,18731.25
835,18617.89
840,18619.52
845,18487.52
850,18515.65
855,18619.99
860,18609.48
865,18688.04
870,18801.78
875,19312.43
880,19186.5
885,19181.25
890,19199.99
895,19014.23
900,19043.85
905,19158.43
910,19174.87
915,19049.87
920,19034.44
925,18948.16
930,18996.92
935,19092.95
940,19077.04
945,19033.05
950,18956.66
955,19005.46
960,18972.51
965,18942.69
970,18946.39
975,19037.41
980,18894.89
985,18995.23
990,19090.01
995,19080.0
1000,19005.6
1005,19114.82
1010,19079.6
1015,18957.93
1020,18932.62
1025,18943.3
1030,18945.54
1035,18876.27
1040,18896.03
1045,18828.0
1050,18780.64
1055,18824.28
1060,18695.6
1065,18696.34
1070,18596.04
1075,18557.62
1080,18460.3
1085,18452.25
1090,18450.0
1095,18435.0
1100,18484.28
1105,18347.87
1110,18392.29
1115,18334.22
1120,18230.92
1125,18313.0
1130,18402.19
1135,18425.03
1140,18429.78
1145,18353.22
1150,18445.81
1155,18544.2
1160,18700.33
1165,18597.03
1170,18601.35
1175,18531.37
1180,18572.0
1185,18526.41
1190,18447.3
1195,18476.68
1200,18354.77
1205,18283.82
1210,18274.83
1215,18360.0
1220,18425.67
1225,18387.97
1230,18391.25
1235,18400.0
1240,18581.82
1245,18492.13
1250,18504.06
1255,18481.72
1260,18468.43
1265,18478.23
1270,18472.95
1275,18433.27
1280,18252.32
1285,18149.68
1290,18034.16
1295,18094.51
