Tiempo,Precio
0,29538.74
5,29576.67
10,29612.22
15,29570.06
20,29585.01
25,29592.06
30,29581.25
35,29614.36
40,29643.55
45,29640.31
50,29575.67
55,29564.73
60,29603.02
65,29617.46
70,29620.82
75,29662.24
80,29679.95
85,29759.47
90,29749.09
95,29715.23
100,29765.78
105,29795.25
110,29997.97
115,29976.86
120,30022.09
125,29991.84
130,30018.86
135,30036.46
140,30096.48
145,30077.17
150,30109.05
155,30081.21
160,30120.31
165,30075.0
170,30106.1
175,30102.95
180,30039.37
185,30099.46
190,30151.3
195,30118.45
200,30148.79
205,30165.22
210,30130.36
215,30068.44
220,30104.61
225,30093.31
230,30087.64
235,30082.79
240,30075.18
245,30074.69
250,30093.88
255,30057.86
260,30069.36
265,30069.25
270,30067.75
275,30051.72
280,30079.29
285,30094.49
290,30064.58
295,30052.19
300,29931.31
305,29903.23
310,29930.33
315,29884.59
320,29821.92
325,29834.26
330,29848.93
335,29749.83
340,29760.25
345,29699.35
350,29659.83
355,29671.75
360,29764.73
365,29755.07
370,29751.84
375,29772.44
380,29780.79
385,29773.86
390,29728.47
395,29787.75
400,29805.3
405,29790.6
410,29760.2
415,29745.13
420,29700.57
425,29696.03
430,29714.7
435,29740.0
440,29724.44
445,29668.89
450,29648.12
455,29700.98
460,29766.83
465,29744.9
470,29762.35
475,29758.79
480,29717.31
485,29714.3
490,29762.33
495,29856.85
500,29829.49
505,29790.7
510,29818.36
515,29782.78
520,29709.62
525,29713.43
530,29720.69
535,29694.37
540,29725.39
545,29733.59
550,29722.08
555,29781.16
560,29799.85
565,29785.28
570,29818.36
575,29804.95
580,29742.87
585,29711.14
590,29694.09
595,29762.82
600,29698.43
605,29707.8
610,29732.64
615,29689.44
620,29693.05
625,29693.61
630,29712.59
635,29685.08
640,29571.82
645,29641.19
650,29589.45
655,29508.01
660,29368.92
665,29378.43
670,29418.3
675,29374.89
680,29357.48
685,29374.43
690,29409.08
695,29438.3
700,29458.13
705,29427.01
710,29428.63
715,29347.43
720,29457.67
725,29499.14
730,29472.34
735,29550.66
740,29560.01
745,29534.0
750,29558.95
755,29538.67
760,29514.95
765,29521.42
770,29545.23
775,29474.54
780,29630.19
785,29733.66
790,29714.63
795,29544.44
800,29608.62
805,29678.09
810,29729.99
815,29654.97
820,29829.87
825,29809.07
830,29850.82
835,29826.53
840,29796.8
845,29816.32
850,29739.71
855,29682.68
860,29705.0
865,29747.79
870,29705.6
875,29705.91
880,29768.71
885,29756.21
890,29706.99
895,29683.03
900,29609.05
905,29608.44
910,29613.61
915,29595.5
920,29573.15
925,29594.84
930,29579.45
935,29559.89
940,29640.31
945,29581.88
950,29487.06
955,29498.26
960,29442.8
965,29440.54
970,29485.35
975,29520.67
980,29510.59
985,29527.61
990,29536.12
995,29563.77
1000,29541.69
1005,29582.91
1010,29589.99
1015,29616.38
1020,29622.99
1025,29701.48
1030,29711.61
1035,29737.97
1040,29708.75
1045,29676.5
1050,29810.19
1055,29730.82
1060,29804.54
1065,29776.98
1070,29801.26
1075,29902.03
1080,29951.87
1085,29819.77
1090,29761.8
1095,29739.9
1100,29826.53
1105,29852.41
1110,29924.03
1115,29859.92
1120,29828.58
1125,29730.0
1130,29714.85
1135,29669.95
1140,29680.94
1145,29710.42
1150,29710.78
1155,29664.24
1160,29653.02
1165,29561.9
1170,29590.72
1175,29615.12
1180,29608.03
1185,29638.38
1190,29595.6
1195,29601.03
1200,29665.0
1205,29699.19
1210,29683.79
1215,29726.5
1220,29717.0
1225,29763.2
1230,29753.01
1235,29735.59
1240,29730.26
1245,29730.26
1250,29752.16
1255,29800.0
1260,29783.49
1265,29759.33
1270,29761.48
1275,29742.5
1280,29772.36
1285,29797.16
1290,29790.93
1295,29774.15
1300,29778.03
1305,29755.41
1310,29773.92
1315,29757.76
1320,29755.0
1325,29800.98
1330,29783.6
1335,29730.7
1340,29740.77
1345,29754.98
1350,29703.93
1355,29691.26
1360,29711.38
1365,29666.66
1370,29650.0
1375,29694.73
1380,29621.19
1385,29558.05
1390,29542.56
1395,29548.92
1400,29537.91
1405,29517.72
1410,29545.45
1415,29639.5
1420,29662.42
1425,29691.92
1430,29704.11
1435,29783.7
1440,29840.1
1445,29784.13
1450,29787.76
1455,29764.43
1460,29746.87
1465,29755.73
1470,29746.42
1475,29736.96
1480,29718.31
1485,29749.84
1490,29755.57
1495,29764.52
1500,29726.49
1505,29665.38
1510,29678.42
1515,29634.97
1520,29666.52
1525,29645.48
1530,29676.29
1535,29706.55
1540,29677.58
1545,29720.99
1550,29721.97
1555,29705.33
1560,29716.38
1565,29739.85
1570,29745.69
1575,29760.6
1580,29838.18
1585,29777.89
1590,29749.07
1595,29717.43
1600,29671.83
1605,29649.98
1610,29691.52
1615,29705.95
1620,29802.51
1625,29795.0
1630,29793.13
1635,29773.68
1640,29814.25
1645,29803.94
1650,29788.47
1655,29824.48
1660,29830.13
1665,29826.48
1670,29812.05
1675,29785.99
1680,29772.99
1685,29798.82
1690,29795.29
1695,29766.47
1700,29753.79
1705,29738.41
1710,29767.41
1715,29812.71
1720,29790.22
1725,29775.96
1730,29699.21
1735,29715.86
1740,29686.4
1745,29653.72
1750,29680.5
1755,29662.07
1760,29655.22
1765,29685.01
1770,29651.92
1775,29585.02
1780,29562.96
1785,29578.03
1790,29613.17
1795,29565.9
1800,29573.78
1805,29600.01
1810,29600.48
1815,29557.78
1820,29586.38
1825,29647.99
1830,29613.18
1835,29597.95
1840,29585.91
1845,29555.47
1850,29624.79
1855,29633.24
1860,29666.01
1865,29693.76
1870,29660.26
1875,29667.84
1880,29689.2
1885,29695.0
1890,29662.25
1895,29643.53
1900,29580.23
1905,29527.49
1910,29373.78
1915,29158.01
1920,29113.07
1925,29185.05
1930,29118.82
1935,29048.53
1940,28970.96
1945,28977.72
1950,28906.96
1955,28976.53
1960,29050.01
1965,29064.43
1970,29014.71
1975,29073.2
1980,29059.96
1985,29080.04
1990,29205.58
1995,29168.56
2000,29129.2
2005,29159.54
2010,29189.17
2015,29206.71
2020,29199.98
2025,29157.51
2030,29177.95
2035,29164.0
2040,29216.78
2045,29157.13
2050,29118.72
2055,29151.18
2060,29130.3
2065,29109.93
2070,29092.01
2075,28981.38
2080,29081.89
2085,28965.17
2090,29015.79
2095,29112.24
2100,29030.0
2105,29078.81
2110,29049.19
2115,29026.73
2120,28997.62
2125,28969.51
2130,28944.09
2135,28916.8
2140,29093.09
2145,29017.27
2150,28990.27
2155,28968.13
2160,28865.52
2165,28791.32
2170,28863.57
2175,28850.03
2180,28923.85
2185,28920.92
2190,28902.41
2195,28764.21
2200,28788.0
2205,28203.32
2210,28246.51
2215,28217.53
2220,28394.45
2225,28338.47
2230,28469.19
2235,28854.16
2240,28767.38
2245,28781.29
2250,28889.51
2255,29063.01
