Tiempo,Precio
0,31372.1
5,31377.39
10,31463.38
15,31406.27
20,31408.1
25,31398.45
30,31319.73
35,31362.57
40,31282.33
45,31303.98
50,31113.88
55,30333.61
60,31434.08
65,31241.87
70,31053.41
75,31150.47
80,31163.85
85,31000.52
90,31295.58
95,31110.16
100,31140.01
105,31189.72
110,31285.99
115,31203.43
120,31150.51
125,31108.43
130,31150.82
135,31089.11
140,31236.29
145,31135.81
150,31201.49
155,31255.98
160,31241.32
165,31157.0
170,31139.26
175,31115.57
180,31168.34
185,31060.0
190,30907.68
195,30899.99
200,30971.26
205,30949.54
210,31061.81
215,31070.01
220,31088.18
225,31084.66
230,31092.44
235,31006.17
240,31092.77
245,31096.59
250,31135.69
255,31175.59
260,31117.22
265,31114.02
270,31074.86
275,31076.52
280,31132.25
285,31162.47
290,31056.52
295,31047.61
300,30960.19
305,30952.06
310,30997.13
315,30897.29
320,30880.55
325,30563.62
330,30478.59
335,30223.63
340,29954.31
345,29905.02
350,29862.54
355,30145.7
360,29920.62
365,30004.91
370,29939.15
375,29988.48
380,30252.94
385,30228.63
390,30277.48
395,30273.24
400,30180.23
405,30233.86
410,30279.8
415,30317.75
420,30228.94
425,30226.03
430,30275.96
435,30272.61
440,30276.04
445,30257.49
450,30257.42
455,30242.39
460,30309.9
465,30418.4
470,30524.04
475,30487.05
480,30531.34
485,30530.37
490,30628.46
495,30537.1
500,30473.39
505,30480.07
510,30471.61
515,30407.79
520,30389.57
525,30414.12
530,30431.16
535,30492.46
540,30421.21
545,30513.47
550,30468.29
555,30380.51
560,30432.71
565,30347.93
570,30358.92
575,30368.62
580,30380.95
585,30379.88
590,30473.33
595,30552.34
600,30528.06
605,30547.72
610,30596.64
615,30500.43
620,30499.06
625,30507.95
630,30538.17
635,30497.8
640,30473.53
645,30474.66
650,30512.66
655,30475.05
660,30469.93
665,30489.98
670,30402.44
675,30423.04
680,30438.53
685,30424.19
690,30367.16
695,30429.44
700,30555.74
705,30476.95
710,30512.88
715,30472.2
720,30451.11
725,30510.95
730,30449.27
735,30422.57
740,30400.54
745,30386.25
750,30421.47
755,30403.31
760,30411.6
765,30412.49
770,30408.85
775,30386.08
780,30401.99
785,30368.53
790,30370.29
795,30391.94
800,30416.45
805,30453.54
810,30388.64
815,30396.75
820,30469.04
825,30449.88
830,30469.99
835,30410.55
840,30404.98
845,30392.71
850,30383.93
855,30388.4
860,30415.01
865,30382.51
870,30319.34
875,30195.85
880,30251.15
885,30209.83
890,30191.76
895,30200.01
900,30157.71
905,30119.81
910,30204.51
915,30252.3
920,30290.02
925,30252.05
930,30249.41
935,30350.0
940,30385.71
945,30633.49
950,30479.28
955,30747.19
960,30797.01
965,30750.78
970,30697.95
975,30593.12
980,30502.39
985,30604.94
990,30593.26
995,30484.75
1000,30464.97
1005,30477.41
1010,30329.24
1015,30384.21
1020,30410.74
1025,30409.98
1030,30417.5
1035,30472.83
1040,30533.54
1045,30500.01
1050,30481.57
1055,30462.94
1060,30498.37
1065,30497.12
1070,30382.01
1075,30436.11
1080,30442.28
1085,30460.45
1090,30481.31
1095,30486.27
1100,30519.99
1105,30521.49
1110,30453.16
1115,30423.0
1120,30305.1
1125,30264.48
1130,30213.07
1135,30312.05
1140,30290.23
1145,30310.0
1150,30279.02
1155,30349.37
1160,30330.56
1165,30361.11
1170,30420.95
1175,30361.08
1180,30342.61
1185,30285.78
1190,30355.59
1195,30378.22
1200,30362.8
1205,30362.64
1210,30347.23
1215,30342.33
1220,30312.59
1225,30198.6
1230,30208.03
1235,30188.34
1240,29989.24
1245,30020.28
1250,30172.98
1255,30206.94
1260,30178.95
1265,30209.19
1270,30149.07
1275,30132.02
1280,30124.83
1285,30109.03
1290,30222.57
1295,30206.76
1300,30241.11
1305,30223.11
1310,30217.26
1315,30151.87
1320,30201.4
1325,30116.0
1330,30133.34
1335,30149.59
1340,30159.02
1345,30182.39
1350,30166.48
1355,30173.11
1360,30195.19
1365,30287.67
1370,30235.48
1375,30232.78
1380,30207.57
1385,30180.0
1390,30312.9
1395,30277.61
1400,30245.69
1405,30286.99
1410,30299.38
1415,30280.76
1420,30307.38
1425,30290.17
1430,30321.0
1435,30276.14
1440,30325.57
1445,30400.96
1450,30338.07
1455,30366.88
1460,30318.55
1465,30306.61
1470,30300.0
1475,30302.92
1480,30316.67
1485,30281.95
1490,30328.21
1495,30344.25
1500,30296.47
1505,30287.02
1510,30279.48
1515,30295.78
1520,30286.78
1525,30277.29
1530,30322.52
1535,30266.65
1540,30311.8
1545,30248.65
1550,30193.1
1555,30223.48
1560,30187.08
1565,30178.15
1570,30140.35
1575,30107.09
1580,30172.21
1585,30128.44
1590,30112.09
1595,30113.72
1600,30057.34
1605,30126.08
1610,30138.75
1615,30212.37
1620,30219.56
1625,30199.21
1630,30256.65
1635,30287.42
1640,30233.3
1645,30262.51
1650,30257.17
1655,30255.48
1660,30271.74
1665,30211.31
1670,30222.0
1675,30148.37
1680,30147.75
1685,30066.58
1690,30106.14
1695,30124.6
1700,30137.92
1705,30150.49
1710,30160.27
1715,30159.48
1720,30169.14
1725,30146.93
1730,30156.83
1735,30180.47
1740,30152.7
1745,30176.61
1750,30223.04
1755,30202.61
1760,30189.6
1765,30186.47
1770,30232.26
1775,30233.56
1780,30217.45
1785,30243.23
1790,30245.99
1795,30238.63
1800,30255.1
1805,30268.31
1810,30252.75
1815,30247.08
1820,30244.3
1825,30223.38
1830,30231.71
1835,30254.04
1840,30242.08
1845,30238.4
1850,30244.56
1855,30221.65
1860,30235.6
1865,30241.89
1870,30229.59
1875,30351.66
1880,30293.88
1885,30313.08
1890,30350.0
1895,30354.17
1900,30333.53
1905,30344.15
1910,30334.47
1915,30322.64
1920,30309.38
1925,30292.05
1930,30311.69
1935,30298.96
1940,30315.62
1945,30305.51
1950,30280.55
1955,30286.62
1960,30276.85
1965,30272.59
1970,30264.64
1975,30279.82
1980,30324.16
1985,30311.0
1990,30315.43
1995,30333.32
2000,30330.01
2005,30344.51
2010,30350.42
2015,30391.66
2020,30326.52
2025,30342.49
2030,30358.44
2035,30425.99
2040,30427.07
2045,30466.93
2050,30437.99
2055,30408.64
2060,30367.7
2065,30383.66
2070,30419.57
2075,30411.47
2080,30465.23
2085,30417.63
2090,30390.85
2095,30477.08
2100,30471.54
2105,30486.48
2110,30470.0
2115,30484.51
2120,30490.79
2125,30466.9
2130,30506.29
2135,30561.57
2140,30631.22
2145,30570.83
2150,30570.72
2155,30578.98
2160,30532.27
2165,30525.7
2170,30531.69
2175,30510.0
2180,30515.72
2185,30542.96
2190,30554.24
2195,30565.0
2200,30515.0
2205,30521.99
2210,30528.47
2215,30479.01
2220,30475.7
2225,30413.13
2230,30375.02
2235,30411.56
2240,30411.98
2245,30375.67
2250,30401.26
2255,30400.0
2260,30365.02
2265,30378.04
2270,30364.67
2275,30280.01
2280,30321.1
2285,30281.42
2290,30328.03
2295,30314.36
2300,30277.03
