Tiempo,Precio
0,22016.2
5,21874.78
10,21833.86
15,21865.84
20,21973.51
25,21963.34
30,22061.11
35,21955.39
40,21980.0
45,21953.19
50,21523.64
55,21533.32
60,21438.77
65,21471.83
70,21461.7
75,21404.28
80,21350.55
85,21459.98
90,21553.64
95,21490.61
100,21560.0
105,21530.42
110,21530.18
115,21584.5
120,21452.01
125,21497.03
130,21562.88
135,21604.86
140,21576.28
145,21569.02
150,21618.01
155,21790.03
160,21685.5
165,21753.54
170,22050.11
175,21967.13
180,22050.25
185,22204.15
190,22132.01
195,22169.99
200,22221.36
205,22102.82
210,21962.12
215,21946.87
220,21907.68
225,21993.99
230,21980.46
235,21954.48
240,22043.34
245,22077.67
250,22022.46
255,21900.8
260,21793.58
265,21783.5
270,21836.04
275,21841.54
280,21925.12
285,21902.17
290,21922.59
295,21971.05
300,21986.62
305,22021.71
310,22234.79
315,22154.75
320,22122.32
325,22137.41
330,22005.18
335,22010.5
340,22026.51
345,21981.53
350,21939.72
355,21928.94
360,21866.26
365,21905.0
370,21852.1
375,21891.19
380,21885.16
385,21958.31
390,21960.25
395,21781.61
400,21820.37
405,21787.21
410,21736.58
415,21692.36
420,21652.08
425,21568.56
430,21516.65
435,21620.93
440,21565.9
445,21430.09
450,21270.82
455,21123.69
460,21220.43
465,21062.53
470,21000.01
475,20975.7
480,21000.0
485,21081.38
490,21074.13
495,21171.59
500,21228.36
505,21117.23
510,21074.11
515,21210.1
520,21152.64
525,21087.09
530,20859.3
535,20857.96
540,21138.85
545,21104.99
550,21067.5
555,21128.56
560,21224.99
565,21188.33
570,21289.74
575,21253.93
580,21135.54
585,21063.58
590,20975.13
595,21064.69
600,21115.51
605,21202.04
610,21242.5
615,21181.64
620,21284.95
625,21300.29
630,21321.98
635,21261.68
640,21232.71
645,21263.99
650,21219.23
655,21058.02
660,21050.33
665,21093.5
670,21069.58
675,20732.32
680,20689.53
685,20686.83
690,20389.37
695,20534.42
700,20311.01
705,20403.38
710,20375.92
715,20432.86
720,20577.0
725,20547.23
730,20338.39
735,20244.27
740,20201.3
745,20228.57
750,20379.95
755,20256.02
760,20140.71
765,20194.51
770,20178.31
775,20167.59
780,20113.73
785,20175.6
790,20178.39
795,20119.34
800,20240.19
805,20200.64
810,20167.96
815,20175.82
820,20230.87
825,20671.11
830,20408.05
835,20477.03
840,20527.54
845,20556.65
850,20613.29
855,20586.04
860,20574.33
865,20536.63
870,20449.0
875,20436.59
880,20581.95
885,20557.57
890,20805.88
895,20937.75
900,21101.29
905,21081.15
910,21150.18
915,20992.29
920,21016.28
925,21144.36
930,21071.71
935,21095.84
940,21326.65
945,21250.91
950,21178.97
955,21183.25
960,21166.18
965,21122.61
970,21225.7
975,21280.15
980,21261.74
985,21167.58
990,21175.59
995,21335.88
1000,21360.0
1005,21447.72
1010,21359.58
1015,21405.99
1020,21395.03
1025,21333.18
1030,21480.11
1035,21574.19
1040,21593.13
1045,21530.16
1050,21648.75
1055,21625.22
1060,21578.67
1065,21317.98
1070,21299.99
1075,21349.63
1080,21267.96
1085,21211.18
1090,21229.0
1095,21306.63
1100,21088.38
1105,21183.68
1110,21325.44
1115,21277.0
1120,21282.57
1125,21216.39
1130,21124.65
1135,21205.22
1140,21168.82
1145,21250.0
1150,21293.48
1155,21364.15
1160,21379.0
1165,21394.59
1170,21357.8
1175,21380.04
1180,21321.08
1185,21357.12
1190,21285.32
1195,21180.77
1200,20931.8
1205,20783.2
1210,20795.87
1215,20800.0
1220,20767.1
1225,20693.89
1230,20666.44
1235,20569.49
1240,20712.58
1245,20898.69
1250,20822.86
1255,20622.99
1260,20687.51
1265,20626.77
1270,20704.27
1275,20679.43
1280,21235.24
1285,21086.65
1290,20727.3
1295,20384.32
1300,20479.66
1305,20595.65
1310,20540.34
1315,20733.48
1320,20611.51
1325,21043.83
1330,21921.31
1335,21710.79
1340,21499.65
1345,21513.21
1350,21518.02
1355,21650.01
1360,21603.22
1365,21584.98
1370,21853.08
1375,21877.42
1380,22180.66
1385,21900.0
1390,21775.77
1395,21789.26
1400,21574.21
1405,21609.22
1410,21682.03
1415,21764.38
1420,21584.83
1425,21464.78
1430,21589.64
1435,21606.17
1440,21701.06
1445,21742.71
1450,21841.63
1455,21817.56
1460,21737.37
1465,21656.21
1470,21656.65
1475,21723.91
1480,21778.6
1485,21830.93
1490,21855.08
1495,21876.52
1500,21856.24
1505,21990.35
